21,Front-Wheel Drive,1700,Regular Gasoline,Dodge,Stratus,Automatic 4-spd,Midsize Cars,1997,-1750,
21,Front-Wheel Drive,1700,Regular Gasoline,Dodge,Stratus,Automatic 4-spd,Midsize Cars,1997,-1750,
25,Front-Wheel Drive,1450,Regular Gasoline,Dodge,Aries,Manual 5-spd,Midsize Cars,1985,-500,
20,Front-Wheel Drive,1800,Regular Gasoline,Ford,Taurus,Automatic 4-spd,Midsize Cars,1997,-2250,
21,Front-Wheel Drive,1700,Regular Gasoline,Ford,Taurus,Automatic 4-spd,Midsize Cars,1997,-1750,
18,Front-Wheel Drive,2400,Premium Gasoline,Ford,Taurus SHO,Automatic 4-spd,Midsize Cars,1997,-5250,
19,Rear-Wheel Drive,1900,Regular Gasoline,Ford,Thunderbird,Automatic 4-spd,Midsize Cars,1997,-2750,
18,Rear-Wheel Drive,2000,Regular Gasoline,Ford,Thunderbird,Automatic 4-spd,Midsize Cars,1997,-3250,
20,Front-Wheel Drive,1800,Regular Gasoline,Hyundai,Sonata,Automatic 4-spd,Midsize Cars,1997,-2250,
21,Front-Wheel Drive,1700,Regular Gasoline,Hyundai,Sonata,Manual 5-spd,Midsize Cars,1997,-1750,
18,Front-Wheel Drive,2000,Regular Gasoline,Hyundai,Sonata,Automatic 4-spd,Midsize Cars,1997,-3250,
21,Front-Wheel Drive,2050,Premium Gasoline,Infiniti,I30,Automatic 4-spd,Midsize Cars,1997,-3500,
21,Front-Wheel Drive,2050,Premium Gasoline,Infiniti,I30,Manual 5-spd,Midsize Cars,1997,-3500,
21,Front-Wheel Drive,1700,Regular Gasoline,Dodge,Aries,Automatic 3-spd,Midsize Cars,1985,-1750,
18,Rear-Wheel Drive,2400,Premium Gasoline,Infiniti,Q45,Automatic 4-spd,Midsize Cars,1997,-5250,
18,Rear-Wheel Drive,2400,Premium Gasoline,Lexus,GS 300,Automatic 5-spd,Midsize Cars,1997,-5250,
19,Rear-Wheel Drive,2250,Premium Gasoline,Lexus,LS 400,Automatic 4-spd,Midsize Cars,1997,-4500,
19,Rear-Wheel Drive,1900,Regular Gasoline,Mercury,Cougar,Automatic 4-spd,Midsize Cars,1997,-2750,
18,Rear-Wheel Drive,2000,Regular Gasoline,Mercury,Cougar,Automatic 4-spd,Midsize Cars,1997,-3250,
19,Rear-Wheel Drive,2250,Premium Gasoline,Lincoln,Mark VIII,Automatic 4-spd,Midsize Cars,1997,-4500,
20,Front-Wheel Drive,1800,Regular Gasoline,Mercury,Sable,Automatic 4-spd,Midsize Cars,1997,-2250,
21,Front-Wheel Drive,1700,Regular Gasoline,Mercury,Sable,Automatic 4-spd,Midsize Cars,1997,-1750,
24,Front-Wheel Drive,1500,Regular Gasoline,Mazda,626,Automatic 4-spd,Midsize Cars,1997,-750,
26,Front-Wheel Drive,1350,Regular Gasoline,Mazda,626,Manual 5-spd,Midsize Cars,1997,0,
